index,Enzyme:,Reaction:,T(K),pH ,"c(Mg2+,mol dm<sup>-3</sup>)",K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2656, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,6.99,1.8E-6,2.97E-2,Lawson J.W.R.; Veech R.L.; J. Biol. Chem.; 254 6528 (1979).,79LAW/VEE_598," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay; spectrophotometry, phosphate and Tris
2657, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,6.99,1.9E-6,3.22E-2,,,,,
2658, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.00,5.5E-6,2.54E-2,,,,,
2659, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.00 ,5.6E-6,2.60E-2,,,,,
2660, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.00,7.2E-5,1.82E-2,,,,,
2661, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.01,1.5E-6,3.05E-2,,,,,
2662, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.01,5.4E-6,2.17E-2,,,,,
2663, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.01,6.4E-7,2.88E-2,,,,,
2664, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.01,7.1E-5,1.80E-2,,,,,
2665, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.01,7.3E-5,1.72E-2,,,,,
2666, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.02,1.9E-6,3.11E-2,,,,,
2667, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.04,5.1E-7,3.22E-2,,,,,
2668, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.04,8.9E-7,3.05E-2,,,,,
2669, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.07,5.6E-3,3.62E-2,,,,,
2670, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.07,8.2E-4,7.87E-3,,,,,
2671, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.08,8.3E-4,7.69E-3,,,,,
2672, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.09,3.42E-3,6.02E-3,,,,,
2673, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.09,8.9E-4,8.06E-3,,,,,
2674, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.10,8.7E-4,7.81E-3,,,,,
2675, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.10,8.8E-4,7.69E-3,,,,,
2676, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.11,3.36E-3,5.78E-3,,,,,
2677, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.11,3.53E-3,6.06E-3,,,,,
2678, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.11,3.5E-6,3.51E-2,,,,,
2679, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.11,3.5E-6,3.58E-2,,,,,
2680, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.11,8.6E-4,8.47E-3,,,,,
2681, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.12,3.38E-3,6.10E-3,,,,,
2682, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.12,3.4E-6,3.46E-2,,,,,
2683, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.12,8.4E-4,8.13E-3,,,,,
2684, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.12,8.7E-4,7.81E-3,,,,,
2685, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.14,3.53E-3,6.67E-3,,,,,
2686, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.14,4.7E-5,3.47E-2,,,,,
2687, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.14,4.8E-5,3.39E-2,,,,,
2688, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.15,4.6E-5,3.38E-2,,,,,
2689, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.16,3.32E-3,6.17E-3,,,,,
2690, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.16,3.48E-3,6.49E-3,,,,,
2691, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.19,3.42E-3,6.49E-3,,,,,
2692, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.32,1.19E-2,6.41E-3,,,,,
2693, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.33,1.20E-2,6.49E-3,,,,,
2694, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.33,1.21E-2,6.76E-3,,,,,
2695, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.34,1.18E-2,7.58E-3,,,,,
2696, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.35,1.20E-2,6.90E-3,,,,,
2697, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.37,1.19E-2,7.14E-3,,,,,
2698, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.38,1.17E-2,6.10E-3,,,,,
2699, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),310.15,7.39,1.17E-2,7.52E-3,,,,,
