index,Enzyme:,Reaction:,T(K),pH ,"c(MgCl2,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2906, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,5.90,0,0.25,125,Guynn R.W.; Thames H.; Arch. Biochem. Biophys.; 215 514 (1982).,82GUY/THA_828," 3.1.3.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,
2907, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,5.99,0,0.25,122.3,,,,,
2908, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.47,0,0.25,76.8,,,,,
2909, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.49,0,0.25,68.6,,,,,
2910, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.52,0,0.25,70.4,,,,,
2911, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.53,0,0.25,74.2,,,,,
2912, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.89,0,0.25,55.1,,,,,
2913, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.89,0,0.25,55.1,,,,,
2914, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.89,0,0.25,56.5,,,,,
2915, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.89,0,0.25,58.4,,,,,
2916, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.91,0,0.25,57.7,,,,,
2917, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.91,0,0.25,59.4,,,,,
2918, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.91,0,0.25,59.8,,,,,
2919, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.92,0,0.25,59.8,,,,,
2920, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.95,0,0.25,52.8,,,,,
2921, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.95,0,0.25,57.2,,,,,
2922, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.95,0,0.25,57.2,,,,,
2923, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.95,0,0.25,57.2,,,,,
2924, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,0.12,50.6,,,,,
2925, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,0.12,54.8,,,,,
2926, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,0.25,54.9,,,,,
2927, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,0.41,56.1,,,,,
2928, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,0.41,58.9,,,,,
2929, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,0.56,53.9,,,,,
2930, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,0.56,57.5,,,,,
2931, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,0.71,55.8,,,,,
2932, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,0.71,58.2,,,,,
2933, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,1.0,55.8,,,,,
2934, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,6.98,0,1.0,58.9,,,,,
2935, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.0067,0.25,47.4,,,,,
2936, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.0067,0.25,47.8,,,,,
2937, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.010,0.25,47.8,,,,,
2938, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.010,0.25,49.8,,,,,
2939, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.0133,0.25,49.8,,,,,
2940, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.0133,0.25,50.0,,,,,
2941, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.0200,0.25,50.0,,,,,
2942, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0.0200,0.25,51.1,,,,,
2943, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0,0.25,47.4,,,,,
2944, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.00,0,0.25,49.9,,,,,
2945, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.36,0,0.25,49.8,,,,,
2946, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.43,0,0.25,46.1,,,,,
2947, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.66,0,0.25,45.0,,,,,
2948, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,7.73,0,0.25,46.8,,,,,
2949, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,8.02,0,0.25,47.0,,,,,
2950, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,8.12,0,0.25,48.3,,,,,
2951, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,8.13,0,0.25,49.4,,,,,
2952, phosphoserine phosphatase, L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),311.15,8.16,0,0.25,51.0,,,,,
