index,Enzyme:,Reaction:,T(K),pH ,"c(Tris,mol dm<sup>-3</sup>)","c(KCl,mol dm<sup>-3</sup>)",Î´<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
3283, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,6.42,0.10,0,-54.88,Gajewski E.; Steckler D.K.; Goldberg R.N.; J. Biol. Chem.; 261 12733 (1986).,86GAJ/STE_1074," 3.6.1.32                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris + HCl
3284, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,7.16,0.10,0,-59.40,,,,,
3285, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,7.55,0.10,0,-65.32,,,,,
3286, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,7.86,0.10,0.60,-67.07,,,,,
3287, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,7.90,0.10,0,-65.87,,,,,
3288, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,8.14,0.10,0.60,-68.28,,,,,
3289, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,8.19,0.10,0.60,-68.17,,,,,
3290, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,8.32,0.10,0,-67.57,,,,,
3291, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,8.41,0.10,0,-68.28,,,,,
3292, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,8.45,0.10,0.60,-68.11,,,,,
3293, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,8.53,0.60,0,-70.23,,,,,
3294, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,8.55,1.00,0,-71.75,,,,,
3295, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,8.57,0.25,0,-68.66,,,,,
3296, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,8.59,0.10,0,-68.03,,,,,
3297, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,8.63,0.10,0,-67.50,,,,,
3298, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),298.15,8.80,0.10,0,-68.10,,,,,
3299, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),304.15,8.42,0.10,0,-69.16,,,,,
3300, myosin ATPase, ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),309.95,8.42,0.10,0,-70.25,,,,,
